"","P","D","W","ll","copula","params1","params2"
"1","7","4","15","9","6","1","12"
"2","7","4","15","9","6","1","12"
"3","7","4","15","9","6","1","12"
"4","7","4","15","9","6","1","12"
"5","7","4","15","9","6","1","12"
"6","7","4","15","9","6","1","12"
"7","7","4","15","9","6","1","12"
"8","7","4","15","9","6","1","12"
"9","7","4","15","9","6","1","12"
"10","7","4","15","9","6","1","12"
"11","7","4","15","9","6","1","12"
"12","7","4","15","9","6","1","12"
"13","7","4","15","9","6","1","12"
"14","7","4","15","9","6","1","12"
"15","7","4","15","9","6","1","12"
"16","7","4","15","9","6","1","12"
"17","7","4","15","9","6","1","12"
"18","7","4","15","9","6","1","12"
"19","7","4","15","9","6","1","12"
"20","7","4","15","9","6","1","12"
"21","7","4","15","9","6","1","12"
"22","7","4","15","9","6","1","12"
"23","7","4","15","9","6","1","12"
"24","7","4","15","9","6","1","12"
"25","7","4","15","9","6","1","12"
"26","7","4","15","9","6","1","12"
"27","7","4","15","9","6","1","12"
"28","7","4","15","9","6","1","12"
"29","7","4","15","9","6","1","12"
"30","7","4","15","9","6","1","12"
"31","7","4","15","9","6","1","12"
"32","7","4","15","9","6","1","12"
"33","7","4","15","9","6","1","12"
"34","7","4","15","9","6","1","12"
"35","7","4","15","9","6","1","12"
"36","7","4","15","9","6","1","12"
"37","7","4","15","9","6","1","12"
"38","7","4","15","9","6","1","12"
"39","7","4","15","9","6","1","12"
"40","7","4","15","9","6","1","12"
"41","7","4","15","9","6","1","12"
"42","7","4","15","9","6","1","12"
"43","7","4","15","9","6","1","12"
"44","7","4","15","9","6","1","12"
"45","7","4","15","9","6","1","12"
"46","7","4","15","9","6","1","12"
"47","7","4","15","9","6","1","12"
"48","7","4","15","9","6","1","12"
"49","7","4","15","9","6","1","12"
"50","7","4","15","9","6","1","12"
"51","7","4","15","9","6","1","12"
"52","7","4","15","9","6","1","12"
"53","7","4","15","9","6","1","12"
"54","7","4","15","9","6","1","12"
"55","7","4","15","9","6","1","12"
"56","7","4","15","9","6","1","12"
"57","7","4","15","9","6","1","12"
"58","7","4","15","9","6","1","12"
"59","7","4","15","9","6","1","12"
"60","7","4","15","9","6","1","12"
"61","7","4","15","9","6","1","12"
"62","7","4","15","9","6","1","12"
"63","7","4","15","9","6","1","12"
"64","7","4","15","9","6","1","12"
"65","7","4","15","9","6","1","12"
"66","7","4","15","9","6","1","12"
"67","7","4","15","9","6","1","12"
"68","7","4","15","9","6","1","12"
"69","7","4","15","9","6","1","12"
"70","7","4","15","9","6","1","12"
"71","7","4","15","9","6","1","12"
"72","7","4","15","9","6","1","12"
"73","7","4","15","9","6","1","12"
"74","7","4","15","9","6","1","12"
"75","7","4","15","9","6","1","12"
"76","7","4","15","9","6","1","12"
"77","7","4","15","9","6","1","12"
"78","7","4","15","9","6","1","12"
"79","7","4","15","9","6","1","12"
"80","7","4","15","9","6","1","12"
"81","7","4","15","9","6","1","12"
"82","7","4","15","9","6","1","12"
"83","7","4","15","9","6","1","12"
"84","7","4","15","9","6","1","12"
"85","7","4","15","9","6","1","12"
"86","7","4","15","9","6","1","12"
"87","7","4","15","9","6","1","12"
"88","7","4","15","9","6","1","12"
"89","7","4","15","9","6","1","12"
"90","7","4","15","9","6","1","12"
"91","7","4","15","9","6","1","12"
"92","7","4","15","9","6","1","12"
"93","7","4","15","9","6","1","12"
"94","7","4","15","9","6","1","12"
"95","7","4","15","9","6","1","12"
"96","7","4","15","9","6","1","12"
"97","7","4","15","9","6","1","12"
"98","7","4","15","9","6","1","12"
"99","7","4","15","9","6","1","12"
"100","7","4","15","9","6","1","12"
"101","7","4","15","9","6","1","12"
"102","7","4","15","9","6","1","12"
"103","7","4","15","9","6","1","12"
"104","7","4","15","9","6","1","12"
"105","7","4","15","9","6","1","12"
"106","7","4","15","9","6","1","12"
"107","7","4","15","9","6","1","12"
"108","7","4","15","9","6","1","12"
"109","7","4","15","9","6","1","12"
"110","7","4","15","9","6","1","12"
"111","7","4","15","9","6","1","12"
"112","7","4","15","9","6","1","12"
"113","7","4","15","9","6","1","12"
"114","7","4","15","9","6","1","12"
"115","7","4","15","9","6","1","12"
"116","7","4","15","9","6","1","12"
"117","7","4","15","9","6","1","12"
"118","7","4","15","9","6","1","12"
"119","7","4","15","9","6","1","12"
"120","7","4","15","9","6","1","12"
"121","7","4","15","9","6","1","12"
"122","7","4","15","9","6","1","12"
"123","7","4","15","9","6","1","12"
"124","7","4","15","9","6","1","12"
"125","7","4","15","9","6","1","12"
"126","7","4","15","9","6","1","12"
"127","7","4","15","9","6","1","12"
"128","7","4","15","9","6","1","12"
"129","7","4","15","9","6","1","12"
"130","7","4","15","9","6","1","12"
"131","7","4","15","9","6","1","12"
"132","7","4","15","9","6","1","12"
