"","P","S","rho1","nu"
"1",0,0,0.865184159033742,1236.07389079326
"2",0,1,0.786979940475459,19.0791163388149
"3",0,2,0.83414666673827,950.238829715157
"4",0,3,0.582023453939939,1164.95644298665
"5",0,4,0.806176686241624,12.3496034771657
"6",1,0,0.89010939362904,2052.25126521359
"7",1,1,0.76839577488219,1029.50664011224
"8",1,2,0.8585515814677,1412.39008009287
"9",1,3,0.753689183212533,7.91952981483669
"10",1,4,0.884254811852543,9.49160909407565
"11",10,0,0.763887162261712,2061.61095975694
"12",10,1,0.817035009018856,11.0202254861998
"13",10,2,0.658413205961343,5.92550701840433
"14",10,3,0.674606067158455,1454.00040243772
"15",10,4,0.600935230955358,123.6448782153
"16",11,0,NA,NA
"17",11,1,0.901824777121861,13.3433944804904
"18",11,2,0.606511201791385,10.6577544624835
"19",11,3,0.672192667719904,613.036861486691
"20",11,4,0.640553109805637,29.135066699467
"21",12,0,0.771848190393622,7.28823114427474
"22",12,1,0.826282376888717,554.760248632227
"23",12,2,0.748942223983139,126.339993720231
"24",12,3,0.7831418183071,149.327452129973
"25",12,4,NA,NA
"26",13,0,0.817854086004823,573.491665224457
"27",13,1,0.862236122397605,49.5414672452754
"28",13,2,0.780723246824536,217.108142762568
"29",13,3,0.879351944802807,19459.2407681514
"30",13,4,0.707741043671955,6891.95300295851
"31",14,0,0.817361539335059,2.26791366094318
"32",14,1,0.651836635329514,342.182555069805
"33",14,2,0.847347927606206,2702.60147827348
"34",14,3,0.903583750385413,35242.320367314
"35",2,0,0.53385018133366,20.176667440509
"36",2,1,0.888308411517023,7.25589878458259
"37",2,2,0.810564098747018,3559.78514687732
"38",2,3,0.704299779858316,1208.57421346143
"39",2,4,0.809240558484981,436.353400095979
"40",3,0,0.676516408882402,3539.11217830205
"41",3,1,0.883804525468718,1701.04108257783
"42",3,2,0.681055869862862,3042.49612155028
"43",3,3,0.777975191133101,4147.71482040007
"44",3,4,0.792768748610659,12301.0315499685
"45",4,0,0.74466842043245,356.291112409298
"46",4,1,0.785222372039262,3240.94355075462
"47",4,2,0.785025558809086,9.74607490090721
"48",4,3,0.749273935582879,65.2446276985072
"49",4,4,0.790921662447583,42.0408840166993
"50",5,0,0.829624202752891,1947.41326361973
"51",5,1,0.799889454664308,8227.1837064515
"52",5,2,0.52611983494222,1764.31301203759
"53",5,3,0.803354891763791,245.103879697223
"54",5,4,0.675005652846153,1301.62380939836
"55",6,0,0.672890282384301,32306.4219658537
"56",6,1,0.899712324831256,14.9976233341727
"57",6,2,0.867118555769957,719.951339611581
"58",6,3,0.875692041923521,8.95709233763833
"59",6,4,0.842023403791069,40.807321700419
"60",7,0,0.638531431447623,5477.39082601879
"61",7,1,0.748560494281859,6.08550796192615
"62",7,2,0.802898781267616,1930.37798152774
"63",7,3,0.328517894596033,7546.27374585858
"64",7,4,0.706309643312437,4.36842555809203
"65",8,0,0.837706806840884,57.3623370051793
"66",8,1,0.721775269083854,864.420425183343
"67",8,2,0.813432421051046,442.766922447598
"68",8,3,0.634261285469018,5295.85804422944
"69",8,4,0.75702339756332,1544.99185757941
"70",9,0,0.666385404697197,35495.7473256189
"71",9,1,0.478545328659232,65.8223239001366
"72",9,2,0.828639865709691,2841.29235462061
"73",9,3,0.440885715901384,2.13655417908889
"74",9,4,0.500142588802509,71699.7839937648
"75",NA,NA,NA,NA
